25	17	84
26	-1	-1	-1	-1	-1	-1	-1	-1	-1	14&51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	29	77	34	1&77&0	21	41&56&72	79	31&2&25	83	35&80&15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	71	8&73	36&41	77	7&8&29	19	45&4&60	58	27&18&54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	17	77	65	70	50	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	46	48	72	30	23	80&37	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	45	38	11	0	63	28	24&46	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	36	-1	-1	-1	76	78	65	52	9&17	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	27	-1	-1	12	71	-1	19	-1	10&1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	45	-1	-1	-1	34	-1	63	-1	39	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	
-1	12	-1	-1	-1	-1	7	-1	0	30	61	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	80	-1	-1	9	65	39&51	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	37	-1	35	-1	60	-1	83	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	
-1	-1	-1	-1	61	70	-1	-1	26	-1	80&21	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	
-1	27	-1	-1	-1	36	-1	-1	83	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	
-1	-1	49	-1	-1	-1	11	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	
-1	37	-1	-1	-1	-1	10	-1	46	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	
-1	15	16	-1	26	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83	

